"id" "lnwg80" "lnwg81" "lnwg82" "lnwg83" "lnwg84" "lnwg85" "lnwg86" "lnwg87" "union80" "union81" "union82" "union83" "union84" "union85" "union86" "union87" "educ" "black" "SEI_80" "SEI_81" "SEI_82" "SEI_83" "SEI_84" "SEI_85" "SEI_86" "SEI_87" "SEI/10_80" "SEI/10_81" "SEI/10_82" "SEI/10_83" "SEI/10_84" "SEI/10_85" "SEI/10_86" "SEI/10_87"
"1" 13 1,19754016399384 1,85306000709534 1,34446167945862 1,43321335315704 1,56812512874603 1,69989097118378 -0,720262587070465 1,66918790340424 0 1 0 0 0 0 0 0 14 0 10,39 10,39 10,39 10,39 21,42 20,21 20,21 20,21 1,039 1,039 1,039 1,039 2,142 2,021 2,021 2,021
"2" 17 1,67596244812012 1,51839816570282 1,55919051170349 1,72541010379791 1,62202227115631 1,60858821868896 1,572385430336 1,82033383846283 0 0 0 0 0 0 0 0 13 0 20,21 20,21 20,21 20,21 20,21 5,34 5,34 21,42 2,021 2,021 2,021 2,021 2,021 0,534 0,534 2,142
"3" 18 1,5159627199173 1,73537909984589 1,63174366950989 1,99822878837585 2,18401432037354 2,26666212081909 2,06994390487671 2,87316083908081 0 0 0 0 0 0 0 0 12 0 1,47 1,47 20,21 11,67 11,67 11,67 11,67 11,67 0,147 0,147 2,021 1,167 1,167 1,167 1,167 1,167
"4" 45 1,89411497116089 1,47115933895111 1,47349750995636 1,74091422557831 1,8232136964798 1,90827286243439 1,74244737625122 2,13568902015686 1 1 0 0 0 0 0 0 12 0 5,34 11,15 11,15 11,15 11,15 11,15 1,47 1,47 0,534 1,115 1,115 1,115 1,115 1,115 0,147 0,147
"5" 110 1,94877481460571 1,96225929260254 1,9632967710495 2,20251560211182 2,13495421409607 2,12582278251648 1,99101662635803 2,11239337921143 1 0 0 0 0 0 0 0 12 0 1,47 1,47 20,21 20,21 9,2 9,2 1,47 1,47 0,147 0,147 2,021 2,021 0,92 0,92 0,147 0,147
"6" 120 0,258554875850677 1,31997168064117 1,46208524703979 1,32028687000275 1,70364654064178 1,44580316543579 1,80636405944824 2,14812016487122 0 0 0 0 0 0 0 0 10 0 10,39 10,39 10,39 10,39 10,39 10,39 1,47 1,47 1,039 1,039 1,039 1,039 1,039 1,039 0,147 0,147
"7" 126 1,73728549480438 1,98960089683533 2,18991684913635 1,85546326637268 1,92243778705597 2,06102395057678 1,78220164775848 2,41468167304993 0 0 0 0 0 0 0 0 13 0 11,67 20,21 20,21 11,67 11,67 11,67 11,67 20,21 1,167 2,021 2,021 1,167 1,167 1,167 1,167 2,021
"8" 150 1,20873534679413 1,19403970241547 1,17044055461884 1,09796452522278 0,765816211700439 1,11902594566345 1,11936676502228 0,831459522247314 0 0 0 0 0 0 0 1 12 0 11,15 11,15 11,15 11,15 10,39 10,39 11,15 10,39 1,115 1,115 1,115 1,115 1,039 1,039 1,115 1,039
"9" 162 0,502470135688782 1,06491231918335 1,18949794769287 1,5398885011673 1,5982860326767 1,7373206615448 1,98845589160919 2,15867853164673 1 0 0 0 0 0 0 0 11 0 1,47 1,47 11,67 5,34 20,21 20,21 20,21 20,21 0,147 0,147 1,167 0,534 2,021 2,021 2,021 2,021
"10" 166 1,00529396533966 0,937687397003174 1,36748766899109 1,37800872325897 1,17018353939056 1,72822141647339 1,70986473560333 1,85107481479645 1 1 1 1 1 0 0 0 10 0 5,34 5,34 5,34 1,47 1,47 21,42 20,21 21,42 0,534 0,534 0,534 0,147 0,147 2,142 2,021 2,142
