="",="(1)",="(2)"
="",="cappun",="cappun"
="lnage",="1.326***",="0.601"
="",="(0.381)",="(0.382)"
="lnagesq",="-0.175***",="-0.084"
="",="(0.051)",="(0.051)"
="educ",="0.080***",="0.075***"
="",="(0.014)",="(0.021)"
="educsq",="-0.004***",="-0.004***"
="",="(0.001)",="(0.001)"
="female",="-0.079***",="-0.091***"
="",="(0.014)",="(0.014)"
="black",="-0.273***",="-0.296***"
="",="(0.024)",="(0.024)"
="asian",="-0.057",="0.259***"
="",="(0.050)",="(0.013)"
="hispanic",="-0.168***",="-0.191***"
="",="(0.027)",="(0.027)"
="othrace",="-0.100",="0.127***"
="",="(0.068)",="(0.013)"
="_cons",="-2.065**",="-0.560"
="",="(0.715)",="(0.723)"
="N",="3913",="3719"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
