race,sex,marital,educ,age,expdesgn,odds1,odds2,earthsun,viruses,condrift,evolved,radioact,hotcore,boyorgrl,electron,bigbang,lasers,bibrev,evolvedrev,bigbangrev,female,married,race_black,race_other
2,2,2,12,29,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,1,1,0,1,0
2,1,5,16,26,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0
2,1,3,16,60,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0
1,2,1,13,34,0,1,1,1,1,0,0,0,1,0,0,0,0,3,1,1,1,1,0,0
2,2,5,11,18,1,0,0,1,1,1,0,0,0,0,1,0,0,2,1,1,1,0,1,0
2,1,5,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0
3,2,3,14,56,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1
1,2,1,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0
3,2,5,14,57,1,0,1,0,1,1,0,0,1,1,0,0,0,2,1,1,1,0,0,1
1,1,1,14,63,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
2,2,5,12,41,0,1,1,0,0,1,0,0,1,1,1,1,0,2,1,0,1,0,1,0
2,2,2,14,69,0,0,0,0,0,0,1,0,1,0,1,1,0,3,0,0,1,0,1,0
1,1,5,13,52,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,0,0,0,0
3,2,1,12,59,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1
3,2,1,16,35,0,0,1,1,1,1,1,0,0,1,1,0,0,2,0,1,1,1,0,1
3,2,1,10,46,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,1,1,0,1
3,2,4,17,33,0,1,0,0,0,1,1,1,1,1,1,0,0,2,0,1,1,0,0,1
2,2,5,9,55,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0
1,1,2,12,74,0,1,0,1,0,1,1,1,1,0,0,0,1,2,0,1,0,0,0,0
1,2,5,10,33,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0
1,1,1,10,44,0,1,1,1,1,0,1,0,1,0,0,0,0,3,0,1,0,1,0,0
1,2,1,17,40,1,1,1,1,1,1,0,1,1,1,1,0,1,3,1,1,1,1,0,0
1,1,1,19,37,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
2,1,5,14,20,0,1,1,1,0,1,0,1,1,1,0,1,0,3,1,0,0,0,1,0
1,2,5,17,75,0,1,0,0,1,1,0,0,1,1,0,0,0,2,1,1,1,0,0,0
1,2,3,18,60,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
1,1,1,20,39,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0
1,2,5,18,26,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0
1,2,5,11,37,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0
1,2,5,16,30,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,1,0,0,0
2,1,4,13,40,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,0,1,0
1,1,1,16,54,0,1,1,1,0,1,0,1,0,1,1,0,0,2,1,1,0,1,0,0
1,2,2,14,83,1,1,1,0,1,1,0,1,1,0,0,0,0,2,1,1,1,0,0,0
1,2,1,12,43,0,0,0,1,1,1,0,1,1,0,0,0,0,3,1,1,1,1,0,0
1,2,5,12,50,0,1,1,1,1,1,1,1,1,1,0,1,0,2,0,0,1,0,0,0
3,2,5,16,26,1,1,0,0,1,1,0,1,0,1,1,0,0,2,1,1,1,0,0,1
2,2,1,16,39,0,1,0,0,1,1,1,0,1,1,1,0,0,2,0,1,1,1,1,0
1,2,3,14,58,1,1,1,1,1,0,0,0,1,1,1,0,0,2,1,1,1,0,0,0
1,2,2,12,82,1,1,1,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0
1,2,5,12,89,1,1,1,0,0,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0
1,1,5,18,39,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,0,0,0
1,2,1,18,58,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,1,1,0,0
1,2,3,16,53,1,1,1,0,1,1,1,0,0,1,0,0,0,2,0,1,1,0,0,0
1,1,5,16,58,1,1,1,0,0,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0
1,2,4,13,49,0,1,1,0,1,1,1,1,1,1,0,1,1,2,0,0,1,0,0,0
1,1,5,12,52,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
3,1,2,13,66,0,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,0,0,1
1,2,1,14,42,0,1,1,1,1,1,0,1,0,1,1,0,1,2,1,1,1,1,0,0
1,1,1,16,75,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
1,2,1,18,51,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,1,1,1,0,0
3,1,1,18,54,0,1,1,0,0,1,1,0,1,1,0,1,0,2,0,0,0,1,0,1
1,1,1,17,72,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,0,0,1,0,0
1,1,5,14,37,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0
2,2,3,11,55,1,1,1,0,0,0,0,1,0,1,0,0,0,3,1,1,1,0,1,0
3,1,5,11,18,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1
